항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,UBKL4,YASNYI,2023,003,최종,외항,출항,627,2023-10-14 11:10,2024-03-28 07:10,2024-03-28 06:10,2024-03-28 15:44,기타,24JPLKDD28E,WAN,01,남외항 N-1박지,부산,SLAVYANKA,원양 어선,,9,9,11,,,,N,N,,
부산,6KSA,NO.11 HAE CHEON,2023,001,최종,외항,출항,438,2023-10-19 07:00,2024-01-10 14:00,2024-01-10 10:00,2024-01-19 16:41,원양조업선,24MYKI0110E,MK1,01,감천 1부두 1선석,감천,MAJURO,원양 어선,4,,,,,,,Y,N,,
부산,UCUS,DIONYS,2023,002,최종,외항,출항,865,2023-10-22 09:00,2024-01-28 16:43,2024-01-28 15:00,2024-01-29 11:07,기타,24GSSBM990E,MK1,03,감천 1부두 3선석,VLADIVOSTOK,목포,원양 어선,,37,7,4,,1,,Y,Y,,
부산,DSFW9,GEOVIEW DP-1,2023,007,최종,외항,출항,"1,338",2023-10-23 13:30,2024-06-03 15:30,2024-06-03 14:30,2024-06-10 10:22,기타,24SOCO0013E,*YQ,01,기타 남항 사설조선소,부산,울산,기타선,3,11,14,,,,,Y,Y,,
부산,220036,202한일호,2023,004,최종,내항,출항,94,2023-10-23 16:00,2024-01-15 07:40,,2024-01-18 11:46,기타,,*LP,01,대평동호안,기타항,기타항,기타선,1,1,0,0,0,0,0,N,N,,
부산,5VIG5,HC WAND,2023,003,최종,외항,출항,"1,997",2023-10-24 15:40,2024-10-06 18:00,2024-10-06 17:00,2024-10-07 08:42,기타,24KONGD095E,WAN,02,남외항 N-2박지,LONGYAN PT,고현,일반화물선,2,6,8,11,,,,N,N,,
부산,6KSC,NO. 22 HAE CHEON,2023,001,최종,외항,출항,390,2023-10-25 07:00,2024-01-22 12:00,2024-01-22 10:00,2024-01-22 15:15,원양조업선,24MYKIHC22E,MK1,01,감천 1부두 1선석,OCEAN DISTRICT,OCEAN DISTRICT,원양 어선,4,,,,,,,Y,N,,
부산,UBJT6,ASTOR,2023,003,최종,외항,출항,102,2023-10-25 08:00,2024-03-14 07:30,2024-03-14 07:00,2024-03-15 09:26,기타,24HSTI0314E,MWK,01,감천 중앙부두물량장-01,부산,ZARUBINO,수상레저기구,,1,,,,,2,Y,N,,
부산,UBWP8,VYBORG,2023,007,최종,외항,출항,"6,971",2023-10-25 19:40,2024-03-02 13:00,2024-03-02 12:00,2024-03-07 08:38,기타,24GSSBM987E,WAN,03,남외항 N-3박지,ZHOUSHAN,DALIAN,냉동.냉장선,,18,5,7,,,,Y,Y,,
부산,081561,그린블루,2023,006,최종,내항,출항,10,2023-10-26 20:40,2024-03-16 05:30,,2024-03-21 14:23,기타,,MBP,01,연안유람선부두 1선석,기타항,기타항,기타선,1,0,0,0,0,0,0,N,N,,
부산,994515,성복호,2023,006,변경,내항,출항,181,2023-10-27 15:00,2024-02-29 23:00,,,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,3,1,0,0,0,0,0,N,N,,
부산,920796,정석호,2023,011,최종,내항,출항,149,2023-10-29 18:33,2024-06-16 06:00,,2024-06-17 09:12,기타,,MW5,01,5물량장 1선석,통영,고현,석유제품 운반선,2,1,0,0,0,0,0,N,N,,
부산,DSPA6,에스엔엘2600호,2023,006,최종,내항,출항,183,2023-10-30 16:55,2024-01-30 14:10,,2024-02-05 09:52,기타,,MK4,05,감천 4부두 5선석,기타항,기타항,기타 예선,3,0,0,0,0,0,0,N,N,106231,
부산,4DJO5,MONTENEGRO TUGBOAT 3,2023,001,최종,외항,출항,116,2023-10-31 11:01,2024-08-06 12:30,2024-08-06 12:00,2024-08-06 13:45,수출선박,24BABA9996E,*LP,01,대평동호안,BATANGAS/LUZON,목포,기타 예선,,11,,,,,,N,N,,
부산,230047,승진,2023,001,최종,내항,출항,"1,658",2023-10-31 12:00,2024-07-20 14:15,,2024-07-25 13:12,기타,,MYF,02,선기조합-02(창우해양),울산,기타항,석유제품 운반선,5,4,0,0,0,0,0,Y,N,,
부산,C6UJ3,MUSE,2023,074,최종,외항,출항,"5,403",2023-11-01 08:21,2024-02-25 15:36,2024-02-25 15:36,2024-02-26 08:41,기타,23TYMS1102E,MK7,01,감천 7부두 1선석,MANILA,기타항,풀컨테이너선,,17,,,,,,Y,Y,,
부산,9PAEL05,AXEL,2023,002,최종,외항,출항,"2,469",2023-11-02 08:00,2024-07-03 14:00,2024-07-03 14:00,2024-07-03 15:54,기타,24KSTAL002E,MYQ,01,기타 북항사설조선소,WEIHAI,부산,일반화물선,,11,11,13,,,,Y,Y,,
부산,DSAA,대명2호,2023,001,최종,내항,출항,39,2023-11-02 08:25,2024-03-29 14:40,,2024-04-23 16:04,기타,,*YQ,01,기타 남항 사설조선소,기타항,기타항,견인용예선,1,0,0,0,0,0,0,N,N,,
부산,000736,은성1호,2023,039,최종,내항,출항,112,2023-11-02 12:15,2024-02-02 15:50,,2024-02-15 08:42,기타,,MW5,01,5물량장 1선석,기타항,기타항,급유선,2,0,0,0,0,0,0,N,N,,
부산,140065,에스앤에이치 1호,2023,003,변경,내항,출항,69,2023-11-02 13:30,2024-01-09 13:10,,,기타,,MQF,02,감천 선기조합조선소 안벽-02,기타항,기타항,기타 예선,3,0,0,0,0,0,0,N,N,140070,
부산,866016,제22 삼영호,2023,002,최종,내항,출항,24,2023-11-02 20:10,2024-03-30 04:49,,2024-10-25 09:11,기타,,MWB,01,봉래동물량장,기타항,기타항,견인용예선,1,0,0,0,0,0,0,N,N,,
부산,9LU2030,ENIGMA,2023,103,최종,외항,출항,751,2023-11-05 00:10,2024-02-28 18:35,2024-02-28 18:00,2024-02-29 13:36,수출선박,24ERAEH013E,MW5,01,5물량장 1선석,DUBAI,울산,기타 유조선,9,,9,,,,,Y,Y,,
부산,UGHB,IRIDA,2023,004,최종,외항,출항,748,2023-11-07 11:20,2024-04-17 07:50,2024-04-17 06:50,2024-04-17 11:13,기타,24JPLKDD45E,WAN,01,남외항 N-1박지,부산,SEVERO-KURILSK,원양 어선,,16,15,12,,,,Y,Y,,
부산,902056,금창105호,2023,008,최종,내항,출항,26,2023-11-09 07:30,2024-01-06 20:35,,2024-01-08 09:22,기타,,MWB,01,봉래동물량장,기타항,기타항,견인용예선,1,1,0,0,0,0,0,N,N,,
부산,JVJT8,KUMARUS,2023,001,최종,외항,출항,496,2023-11-10 00:00,2024-02-24 09:00,2024-02-24 08:00,2024-02-27 08:34,기타,24KWLLM502E,MYL,01,동일 조선소,OTARU,MOJI/KITAKYUSHU,일반화물선,,7,7,7,,,,Y,Y,,
부산,UEMT,SHANS 106,2023,001,최종,외항,출항,739,2023-11-10 09:00,2024-01-16 18:00,2024-01-16 17:00,2024-01-17 09:44,기타,24KTIAM204E,MK1,02,감천 1부두 2선석,OKHOTSK,VLADIVOSTOK,원양 어선,,32,30,9,,,,Y,Y,,
부산,UBDH9,M/V SHANS 103,2023,001,최종,외항,출항,678,2023-11-10 10:00,2024-01-30 13:00,2024-01-30 12:00,2024-01-31 13:01,기타,24KTIAM205E,MK1,02,감천 1부두 2선석,OKHOTSK,OKHOTSK,원양 어선,,31,31,10,,,,Y,Y,,
부산,998304,대명1호,2023,016,최종,내항,출항,70,2023-11-10 11:40,2024-01-30 09:40,,2024-02-23 10:07,기타,,MK4,05,감천 4부두 5선석,기타항,기타항,기타 예선,1,1,0,0,0,0,0,N,N,,
